FIPS,County,State,Plan_Selections
26089,Leelanau County,MI,1765
26091,Lenawee County,MI,3229
26093,Livingston County,MI,8094
26095,Luce County,MI,167
26097,Mackinac County,MI,556
26099,Macomb County,MI,36714
26101,Manistee County,MI,968
26103,Marquette County,MI,2591
26105,Mason County,MI,1238
26107,Mecosta County,MI,1154
26109,Menominee County,MI,1273
26111,Midland County,MI,2548
26113,Missaukee County,MI,785
26115,Monroe County,MI,4182
26117,Montcalm County,MI,2155
26119,Montmorency County,MI,348
26121,Muskegon County,MI,4958
26123,Newaygo County,MI,1570
26125,Oakland County,MI,54175
26127,Oceana County,MI,851
26129,Ogemaw County,MI,866
26131,Ontonagon County,MI,340
26133,Osceola County,MI,803
26135,Oscoda County,MI,331
26137,Otsego County,MI,1140
26139,Ottawa County,MI,9879
26141,Presque Isle County,MI,681
26143,Roscommon County,MI,872
26145,Saginaw County,MI,5347
26147,St. Clair County,MI,6500
26149,St. Joseph County,MI,1814
26151,Sanilac County,MI,1904
26153,Schoolcraft County,MI,422
26155,Shiawassee County,MI,2135
26157,Tuscola County,MI,1843
26159,Van Buren County,MI,2800
26161,Washtenaw County,MI,13529
26163,Wayne County,MI,46755
26165,Wexford County,MI,1418
28001,Adams County,MS,1472
28003,Alcorn County,MS,1084
28005,Amite County,MS,447
28007,Attala County,MS,584
28009,Benton County,MS,261
28011,Bolivar County,MS,1315
28013,Calhoun County,MS,349
28015,Carroll County,MS,294
28017,Chickasaw County,MS,628
28019,Choctaw County,MS,168
28021,Claiborne County,MS,352
28023,Clarke County,MS,486
28025,Clay County,MS,611
28027,Coahoma County,MS,760
28029,Copiah County,MS,1259
28031,Covington County,MS,888
28033,DeSoto County,MS,7077
28035,Forrest County,MS,2637
28037,Franklin County,MS,302
28039,George County,MS,421
28041,Greene County,MS,363
28043,Grenada County,MS,758
28045,Hancock County,MS,1802
28047,Harrison County,MS,5020
28049,Hinds County,MS,17452
28051,Holmes County,MS,794
28053,Humphreys County,MS,337
28055,Issaquena County,MS,13
28057,Itawamba County,MS,498
28059,Jackson County,MS,3998
28061,Jasper County,MS,585
28063,Jefferson County,MS,438
28065,Jefferson Davis County,MS,505
28067,Jones County,MS,2169
28069,Kemper County,MS,312
28071,Lafayette County,MS,1181
28073,Lamar County,MS,1812
28075,Lauderdale County,MS,2163
28077,Lawrence County,MS,570
28079,Leake County,MS,606
28081,Lee County,MS,2582
28083,Leflore County,MS,934
28085,Lincoln County,MS,1193
28087,Lowndes County,MS,1973
28089,Madison County,MS,5173
28091,Marion County,MS,1049
28093,Marshall County,MS,1531
28095,Monroe County,MS,970
28097,Montgomery County,MS,353
28099,Neshoba County,MS,498
28101,Newton County,MS,578
28103,Noxubee County,MS,411
28105,Oktibbeha County,MS,1097
28107,Panola County,MS,1046
28109,Pearl River County,MS,2098
28111,Perry County,MS,410
28113,Pike County,MS,1527
28115,Pontotoc County,MS,645
28117,Prentiss County,MS,589
28119,Quitman County,MS,248
28121,Rankin County,MS,5667
28123,Scott County,MS,750
28125,Sharkey County,MS,203
28127,Simpson County,MS,951
28129,Smith County,MS,539
28131,Stone County,MS,438
28133,Sunflower County,MS,1130
28135,Tallahatchie County,MS,390
28137,Tate County,MS,958
28139,Tippah County,MS,572
28141,Tishomingo County,MS,540
28143,Tunica County,MS,438
28145,Union County,MS,628
28147,Walthall County,MS,746
28149,Warren County,MS,1639
28151,Washington County,MS,2129
28153,Wayne County,MS,896
28155,Webster County,MS,252
28157,Wilkinson County,MS,364
28159,Winston County,MS,695
28161,Yalobusha County,MS,307
28163,Yazoo County,MS,760
29001,Adair County,MO,932
29003,Andrew County,MO,712
29005,Atchison County,MO,276
29007,Audrain County,MO,835
29009,Barry County,MO,1910
29011,Barton County,MO,614
29013,Bates County,MO,989
29015,Benton County,MO,1164
29017,Bollinger County,MO,536
29019,Boone County,MO,6809
29021,Buchanan County,MO,2873
29023,Butler County,MO,1486
29025,Caldwell County,MO,395
29027,Callaway County,MO,1409
29029,Camden County,MO,2890
29031,Cape Girardeau County,MO,2615
29033,Carroll County,MO,510
29035,Carter County,MO,324
29037,Cass County,MO,4723
29039,Cedar County,MO,611
29041,Chariton County,MO,382
29043,Christian County,MO,5028
29045,Clark County,MO,314
29047,Clay County,MO,10115
29049,Clinton County,MO,850
29051,Cole County,MO,2409
29053,Cooper County,MO,849
29055,Crawford County,MO,997
29057,Dade County,MO,448
29059,Dallas County,MO,978
29061,Daviess County,MO,340
29063,DeKalb County,MO,490
29065,Dent County,MO,619
29067,Douglas County,MO,919
29069,Dunklin County,MO,1057
29071,Franklin County,MO,4778
29073,Gasconade County,MO,768
29075,Gentry County,MO,399
29077,Greene County,MO,16415
29079,Grundy County,MO,306
29081,Harrison County,MO,379
29083,Henry County,MO,1001
29085,Hickory County,MO,569
29087,Holt County,MO,244
29089,Howard County,MO,487
29091,Howell County,MO,2121
29093,Iron County,MO,356
29095,Jackson County,MO,33871
29097,Jasper County,MO,4392
29099,Jefferson County,MO,10404
29101,Johnson County,MO,1882
29103,Knox County,MO,255
29105,Laclede County,MO,2433
29107,Lafayette County,MO,1841
29109,Lawrence County,MO,1853
29111,Lewis County,MO,459
29113,Lincoln County,MO,1942
29115,Linn County,MO,500
29117,Livingston County,MO,618
29119,McDonald County,MO,785
29121,Macon County,MO,668
29123,Madison County,MO,513
29125,Maries County,MO,330
29127,Marion County,MO,1231
29129,Mercer County,MO,155
29131,Miller County,MO,1295
29133,Mississippi County,MO,435
29135,Moniteau County,MO,502
29137,Monroe County,MO,417
29139,Montgomery County,MO,512
29141,Morgan County,MO,1009
29143,New Madrid County,MO,693
29145,Newton County,MO,2416
29147,Nodaway County,MO,963
29149,Oregon County,MO,597
29151,Osage County,MO,480
29153,Ozark County,MO,607
29155,Pemiscot County,MO,747
29157,Perry County,MO,619
29159,Pettis County,MO,1956
29161,Phelps County,MO,1694
29163,Pike County,MO,713
29165,Platte County,MO,4261
29167,Polk County,MO,1593
29169,Pulaski County,MO,1061
29171,Putnam County,MO,207
29173,Ralls County,MO,447
29175,Randolph County,MO,845
29177,Ray County,MO,1181
29179,Reynolds County,MO,273
29181,Ripley County,MO,475
29183,St. Charles County,MO,15887
29185,St. Clair County,MO,431
29186,Ste. Genevieve County,MO,674
29187,St. Francois County,MO,1963
29189,St. Louis County,MO,55721
29195,Saline County,MO,796
29197,Schuyler County,MO,200
29199,Scotland County,MO,272
29201,Scott County,MO,1243
29203,Shannon County,MO,670
29205,Shelby County,MO,432
29207,Stoddard County,MO,1174
29209,Stone County,MO,2475
29211,Sullivan County,MO,258
29213,Taney County,MO,4249
29215,Texas County,MO,1049
29217,Vernon County,MO,819
29219,Warren County,MO,1308
29221,Washington County,MO,711
29223,Wayne County,MO,520
29225,Webster County,MO,2188
29227,Worth County,MO,126
29229,Wright County,MO,1157
29510,St. Louis city,MO,19513
30001,Beaverhead County,MT,572
30003,Big Horn County,MT,380
30005,Blaine County,MT,350
30007,Broadwater County,MT,273
30009,Carbon County,MT,928
30011,Carter County,MT,94
30013,Cascade County,MT,3088
30015,Chouteau County,MT,360
30017,Custer County,MT,492
30019,Daniels County,MT,107
30021,Dawson County,MT,446
30023,Deer Lodge County,MT,341
30025,Fallon County,MT,115
30027,Fergus County,MT,726
30029,Flathead County,MT,6866
30031,Gallatin County,MT,8493
30033,Garfield County,MT,169
30035,Glacier County,MT,374
30037,Golden Valley County,MT,60
30039,Granite County,MT,306
30041,Hill County,MT,820
30043,Jefferson County,MT,573
30045,Judith Basin County,MT,187
30047,Lake County,MT,1520
30049,Lewis and Clark County,MT,2738
30051,Liberty County,MT,252
30053,Lincoln County,MT,1025
30055,McCone County,MT,114
30057,Madison County,MT,810
30059,Meagher County,MT,112
30061,Mineral County,MT,226
30063,Missoula County,MT,7680
30065,Musselshell County,MT,230
30067,Park County,MT,1464
30069,Petroleum County,MT,58
30071,Phillips County,MT,317
30073,Pondera County,MT,327
30075,Powder River County,MT,176
30077,Powell County,MT,239
30079,Prairie County,MT,79
30081,Ravalli County,MT,2820
30083,Richland County,MT,369
30085,Roosevelt County,MT,434
30087,Rosebud County,MT,221
30089,Sanders County,MT,754
30091,Sheridan County,MT,371
30093,Silver Bow County,MT,1399
30095,Stillwater County,MT,474
30097,Sweet Grass County,MT,377
30099,Teton County,MT,416
30101,Toole County,MT,363
30103,Treasure County,MT,68
30105,Valley County,MT,427
30107,Wheatland County,MT,135
30109,Wibaux County,MT,52
30111,Yellowstone County,MT,5945
31001,Adams County,NE,1670
31003,Antelope County,NE,578
31005,Arthur County,NE,51
31007,Banner County,NE,86
31009,Blaine County,NE,72
31011,Boone County,NE,525
31013,Box Butte County,NE,592
31015,Boyd County,NE,184
31017,Brown County,NE,246
31019,Buffalo County,NE,2355
31021,Burt County,NE,382
31023,Butler County,NE,506
31025,Cass County,NE,1063
31027,Cedar County,NE,696
31029,Chase County,NE,368
31031,Cherry County,NE,690
31033,Cheyenne County,NE,383
31035,Clay County,NE,470
31037,Colfax County,NE,469
31039,Cuming County,NE,730
31041,Custer County,NE,893
31043,Dakota County,NE,617
31045,Dawes County,NE,447
31047,Dawson County,NE,1079
31049,Deuel County,NE,108
31051,Dixon County,NE,277
31053,Dodge County,NE,1760
31055,Douglas County,NE,21516
31057,Dundy County,NE,165
31059,Fillmore County,NE,395
31061,Franklin County,NE,244
31063,Frontier County,NE,161
31065,Furnas County,NE,395
31067,Gage County,NE,1056
31069,Garden County,NE,198
31071,Garfield County,NE,263
31073,Gosper County,NE,130
31075,Grant County,NE,169
31077,Greeley County,NE,292
31079,Hall County,NE,2551
31081,Hamilton County,NE,459
31083,Harlan County,NE,203
31085,Hayes County,NE,100
31087,Hitchcock County,NE,300
31089,Holt County,NE,1348
31091,Hooker County,NE,104
31093,Howard County,NE,384
31095,Jefferson County,NE,380
31097,Johnson County,NE,195
31099,Kearney County,NE,405
31101,Keith County,NE,598
31103,Keya Paha County,NE,76
31105,Kimball County,NE,168
31107,Knox County,NE,699
31109,Lancaster County,NE,11704
31111,Lincoln County,NE,1558
31113,Logan County,NE,89
31115,Loup County,NE,84
31117,McPherson County,NE,39
31119,Madison County,NE,1879
31121,Merrick County,NE,489
31123,Morrill County,NE,340
31125,Nance County,NE,244
31127,Nemaha County,NE,322
31129,Nuckolls County,NE,382
31131,Otoe County,NE,813
31133,Pawnee County,NE,151
31135,Perkins County,NE,368
31137,Phelps County,NE,617
31139,Pierce County,NE,430
31141,Platte County,NE,1487
31143,Polk County,NE,270
31145,Red Willow County,NE,717
31147,Richardson County,NE,406
31149,Rock County,NE,134
31151,Saline County,NE,455
31153,Sarpy County,NE,5640
31155,Saunders County,NE,1278
31157,Scotts Bluff County,NE,2253
31159,Seward County,NE,708
31161,Sheridan County,NE,485
31163,Sherman County,NE,267
31165,Sioux County,NE,107
31167,Stanton County,NE,402
31169,Thayer County,NE,355
31171,Thomas County,NE,134
31173,Thurston County,NE,141
31175,Valley County,NE,491
31177,Washington County,NE,889
31179,Wayne County,NE,394
31181,Webster County,NE,244
31183,Wheeler County,NE,115
31185,York County,NE,692
32001,Churchill County,NV,743
32003,Clark County,NV,61644
32005,Douglas County,NV,2456
32007,Elko County,NV,975
32009,Esmeralda County,NV,17
32011,Eureka County,NV,50
32013,Humboldt County,NV,465
32015,Lander County,NV,161
32017,Lincoln County,NV,94
32019,Lyon County,NV,1557
32021,Mineral County,NV,87
32023,Nye County,NV,1030
32027,Pershing County,NV,119
32029,Storey County,NV,204
32031,Washoe County,NV,16604
32033,White Pine County,NV,190
32510,Carson City,NV,1746
33001,Belknap County,NH,2859
33003,Carroll County,NH,3904
33005,Cheshire County,NH,3336
33007,Coos County,NH,1544
33009,Grafton County,NH,4020
33011,Hillsborough County,NH,15079
33013,Merrimack County,NH,5287
33015,Rockingham County,NH,13192
33017,Strafford County,NH,4548
33019,Sullivan County,NH,1414
34001,Atlantic County,NJ,10061
34003,Bergen County,NJ,36847
34005,Burlington County,NJ,12791
34007,Camden County,NJ,15958
34009,Cape May County,NJ,4261
34011,Cumberland County,NJ,3159
34013,Essex County,NJ,22561
34015,Gloucester County,NJ,8486
34017,Hudson County,NJ,22037
34019,Hunterdon County,NJ,4597
34021,Mercer County,NJ,9554
34023,Middlesex County,NJ,27965
34025,Monmouth County,NJ,21669
34027,Morris County,NJ,15791
34029,Ocean County,NJ,18657
34031,Passaic County,NJ,16859
34033,Salem County,NJ,1530
34035,Somerset County,NJ,10545
34037,Sussex County,NJ,5090
34039,Union County,NJ,16767
34041,Warren County,NJ,3386
35001,Bernalillo County,NM,18272
35003,Catron County,NM,129
35005,Chaves County,NM,1675
35006,Cibola County,NM,296
35007,Colfax County,NM,445
35009,Curry County,NM,1111
35011,De Baca County,NM,62
35013,Dona Ana County,NM,6466
35015,Eddy County,NM,1398
35017,Grant County,NM,711
35019,Guadalupe County,NM,142
35021,Harding County,NM,18
35023,Hidalgo County,NM,97
35025,Lea County,NM,1521
35027,Lincoln County,NM,889
35028,Los Alamos County,NM,311
35029,Luna County,NM,549
35031,McKinley County,NM,592
35033,Mora County,NM,151
35035,Otero County,NM,1337
35037,Quay County,NM,247
35039,Rio Arriba County,NM,819
35041,Roosevelt County,NM,428
35043,Sandoval County,NM,3414
35045,San Juan County,NM,1676
35047,San Miguel County,NM,601
35049,Santa Fe County,NM,7168
35051,Sierra County,NM,262
35053,Socorro County,NM,349
35055,Taos County,NM,1782
35057,Torrance County,NM,391
35059,Union County,NM,103
35061,Valencia County,NM,1451
37001,Alamance County,NC,8028
37003,Alexander County,NC,2235
37005,Alleghany County,NC,785
37007,Anson County,NC,1214
37009,Ashe County,NC,2002
37011,Avery County,NC,1477
37013,Beaufort County,NC,3779
37015,Bertie County,NC,969
37017,Bladen County,NC,1715
37019,Brunswick County,NC,8365
37021,Buncombe County,NC,23291
37023,Burke County,NC,4340
37025,Cabarrus County,NC,13475
37027,Caldwell County,NC,4667
37029,Camden County,NC,418
37031,Carteret County,NC,5406
37033,Caswell County,NC,1086
37035,Catawba County,NC,9756
37037,Chatham County,NC,4103
37039,Cherokee County,NC,1679
37041,Chowan County,NC,745
37043,Clay County,NC,803
37045,Cleveland County,NC,4896
37047,Columbus County,NC,3028
37049,Craven County,NC,4990
37051,Cumberland County,NC,12611
37053,Currituck County,NC,1558
37055,Dare County,NC,4437
37057,Davidson County,NC,9581
37059,Davie County,NC,2381
37061,Duplin County,NC,2748
37063,Durham County,NC,17258
37065,Edgecombe County,NC,3064
37067,Forsyth County,NC,21687
37069,Franklin County,NC,3783
37071,Gaston County,NC,11451
37073,Gates County,NC,415
37075,Graham County,NC,427
37077,Granville County,NC,2630
37079,Greene County,NC,894
37081,Guilford County,NC,34887
37083,Halifax County,NC,2757
37085,Harnett County,NC,5240
37087,Haywood County,NC,4016
37089,Henderson County,NC,7164
37091,Hertford County,NC,1030
37093,Hoke County,NC,1947
37095,Hyde County,NC,383
37097,Iredell County,NC,11737
37099,Jackson County,NC,1996
37101,Johnston County,NC,9942
37103,Jones County,NC,591
37105,Lee County,NC,2882
37107,Lenoir County,NC,2740
37109,Lincoln County,NC,4651
37111,McDowell County,NC,2357
37113,Macon County,NC,2673
37115,Madison County,NC,1658
37117,Martin County,NC,1522
37119,Mecklenburg County,NC,79597
37121,Mitchell County,NC,1152
37123,Montgomery County,NC,1235
37125,Moore County,NC,5536
37127,Nash County,NC,4738
37129,New Hanover County,NC,17670
37131,Northampton County,NC,880
37133,Onslow County,NC,6385
37135,Orange County,NC,8081
37137,Pamlico County,NC,771
37139,Pasquotank County,NC,1833
37141,Pender County,NC,3828
37143,Perquimans County,NC,624
37145,Person County,NC,2175
37147,Pitt County,NC,9560
37149,Polk County,NC,1444
37151,Randolph County,NC,8274
37153,Richmond County,NC,1829
37155,Robeson County,NC,7977
37157,Rockingham County,NC,5552
37159,Rowan County,NC,7993
37161,Rutherford County,NC,3765
37163,Sampson County,NC,2999
37165,Scotland County,NC,1528
37167,Stanly County,NC,3483
37169,Stokes County,NC,2635
37171,Surry County,NC,4138
37173,Swain County,NC,819
37175,Transylvania County,NC,2644
37177,Tyrrell County,NC,408
37179,Union County,NC,16005
37181,Vance County,NC,2335
37183,Wake County,NC,65891
37185,Warren County,NC,851
37187,Washington County,NC,778
37189,Watauga County,NC,3639
37191,Wayne County,NC,4457
37193,Wilkes County,NC,4177
37195,Wilson County,NC,4166
37197,Yadkin County,NC,2006
37199,Yancey County,NC,1269
38001,Adams County,ND,124
38003,Barnes County,ND,367
38005,Benson County,ND,149
38007,Billings County,ND,40
38009,Bottineau County,ND,233
38011,Bowman County,ND,172
38013,Burke County,ND,55
38015,Burleigh County,ND,2165
38017,Cass County,ND,4339
38019,Cavalier County,ND,206
38021,Dickey County,ND,319
38023,Divide County,ND,83
38025,Dunn County,ND,154
38027,Eddy County,ND,88
38029,Emmons County,ND,264
38031,Foster County,ND,152
38033,Golden Valley County,ND,88
38035,Grand Forks County,ND,1634
38037,Grant County,ND,144
38039,Griggs County,ND,115
38041,Hettinger County,ND,132
38043,Kidder County,ND,207
38045,LaMoure County,ND,229
38047,Logan County,ND,197
38049,McHenry County,ND,248
38051,McIntosh County,ND,174
38053,McKenzie County,ND,336
38055,McLean County,ND,323
38057,Mercer County,ND,252
38059,Morton County,ND,813
38061,Mountrail County,ND,189
38063,Nelson County,ND,178
38065,Oliver County,ND,53
38067,Pembina County,ND,232
38069,Pierce County,ND,256
38071,Ramsey County,ND,298
38073,Ransom County,ND,188
38075,Renville County,ND,87
38077,Richland County,ND,585
38079,Rolette County,ND,854
38081,Sargent County,ND,178
38083,Sheridan County,ND,115
38085,Sioux County,ND,42
38087,Slope County,ND,55
38089,Stark County,ND,829
38091,Steele County,ND,107
38093,Stutsman County,ND,610
38095,Towner County,ND,171
38097,Traill County,ND,248
38099,Walsh County,ND,323
38101,Ward County,ND,1290
38103,Wells County,ND,186
38105,Williams County,ND,728
39001,Adams County,OH,561
39003,Allen County,OH,1430
39005,Ashland County,OH,1109
39007,Ashtabula County,OH,2256
39009,Athens County,OH,1126
39011,Auglaize County,OH,871
39013,Belmont County,OH,1288
39015,Brown County,OH,858
39017,Butler County,OH,7755
39019,Carroll County,OH,543
39021,Champaign County,OH,711
39023,Clark County,OH,2282
39025,Clermont County,OH,5425
39027,Clinton County,OH,881
39029,Columbiana County,OH,2444
39031,Coshocton County,OH,856
39033,Crawford County,OH,854
39035,Cuyahoga County,OH,26939
39037,Darke County,OH,1142
39039,Defiance County,OH,601
39041,Delaware County,OH,4305
39043,Erie County,OH,1655
39045,Fairfield County,OH,2985
39047,Fayette County,OH,486
39049,Franklin County,OH,26291
39051,Fulton County,OH,914
39053,Gallia County,OH,429
39055,Geauga County,OH,2950
39057,Greene County,OH,3063
39059,Guernsey County,OH,746
39061,Hamilton County,OH,18576
39063,Hancock County,OH,1307
39065,Hardin County,OH,430
39067,Harrison County,OH,316
39069,Henry County,OH,605
39071,Highland County,OH,806
39073,Hocking County,OH,652
39075,Holmes County,OH,640
39077,Huron County,OH,1067
39079,Jackson County,OH,493
39081,Jefferson County,OH,1393
39083,Knox County,OH,1276
39085,Lake County,OH,6017
39087,Lawrence County,OH,946
39089,Licking County,OH,3124
39091,Logan County,OH,760
39093,Lorain County,OH,6319
39095,Lucas County,OH,7850
39097,Madison County,OH,691
39099,Mahoning County,OH,5329
39101,Marion County,OH,732
39103,Medina County,OH,4580
39105,Meigs County,OH,372
39107,Mercer County,OH,911
39109,Miami County,OH,2447
39111,Monroe County,OH,308
39113,Montgomery County,OH,11237
39115,Morgan County,OH,284
39117,Morrow County,OH,650
39119,Muskingum County,OH,1784
39121,Noble County,OH,277
39123,Ottawa County,OH,1080
39125,Paulding County,OH,380
39127,Perry County,OH,655
39129,Pickaway County,OH,896
39131,Pike County,OH,429
39133,Portage County,OH,3502
39135,Preble County,OH,860
39137,Putnam County,OH,589
39139,Richland County,OH,2308
39141,Ross County,OH,1312
39143,Sandusky County,OH,1029
39145,Scioto County,OH,1318
39147,Seneca County,OH,1079
39149,Shelby County,OH,831
39151,Stark County,OH,8043
39153,Summit County,OH,12642
39155,Trumbull County,OH,4953
39157,Tuscarawas County,OH,1842
39159,Union County,OH,849
39161,Van Wert County,OH,548
39163,Vinton County,OH,184
39165,Warren County,OH,5379
39167,Washington County,OH,1412
39169,Wayne County,OH,2106
39171,Williams County,OH,663
39173,Wood County,OH,2396
39175,Wyandot County,OH,494
40001,Adair County,OK,583
40003,Alfalfa County,OK,225
40005,Atoka County,OK,464
40007,Beaver County,OK,224
40009,Beckham County,OK,858
40011,Blaine County,OK,339
40013,Bryan County,OK,1279
40015,Caddo County,OK,871
40017,Canadian County,OK,5327
40019,Carter County,OK,1418
40021,Cherokee County,OK,1252
40023,Choctaw County,OK,637
40025,Cimarron County,OK,134
40027,Cleveland County,OK,10885
40029,Coal County,OK,149
40031,Comanche County,OK,3273
40033,Cotton County,OK,193
40035,Craig County,OK,584
40037,Creek County,OK,2513
40039,Custer County,OK,969
40041,Delaware County,OK,1561
40043,Dewey County,OK,207
40045,Ellis County,OK,165
40047,Garfield County,OK,2124
40049,Garvin County,OK,1086
40051,Grady County,OK,2231
40053,Grant County,OK,206
40055,Greer County,OK,190
40057,Harmon County,OK,84
40059,Harper County,OK,134
40061,Haskell County,OK,614
40063,Hughes County,OK,466
40065,Jackson County,OK,631
40067,Jefferson County,OK,208
40069,Johnston County,OK,331
40071,Kay County,OK,1243
40073,Kingfisher County,OK,721
40075,Kiowa County,OK,280
40077,Latimer County,OK,418
40079,Le Flore County,OK,2115
40081,Lincoln County,OK,1323
40083,Logan County,OK,2135
40085,Love County,OK,283
40087,McClain County,OK,1597
40089,McCurtain County,OK,1149
40091,McIntosh County,OK,845
40093,Major County,OK,341
40095,Marshall County,OK,419
40097,Mayes County,OK,1261
40099,Murray County,OK,351
40101,Muskogee County,OK,2102
40103,Noble County,OK,303
40105,Nowata County,OK,385
40107,Okfuskee County,OK,345
40109,Oklahoma County,OK,33945
40111,Okmulgee County,OK,1121
40113,Osage County,OK,1613
40115,Ottawa County,OK,938
40117,Pawnee County,OK,527
40119,Payne County,OK,2590
40121,Pittsburg County,OK,1282
40123,Pontotoc County,OK,1098
40125,Pottawatomie County,OK,2235
40127,Pushmataha County,OK,451
40129,Roger Mills County,OK,133
40131,Rogers County,OK,3218
40133,Seminole County,OK,721
40135,Sequoyah County,OK,1343
40137,Stephens County,OK,1495
40139,Texas County,OK,656
40141,Tillman County,OK,240
40143,Tulsa County,OK,25808
40145,Wagoner County,OK,2775
40147,Washington County,OK,1609
40149,Washita County,OK,451
40151,Woods County,OK,264
40153,Woodward County,OK,784
41001,Baker County,OR,621
41003,Benton County,OR,2658
41005,Clackamas County,OR,14645
41007,Clatsop County,OR,1861
41009,Columbia County,OR,1321
41011,Coos County,OR,2088
41013,Crook County,OR,890
41015,Curry County,OR,1145
41017,Deschutes County,OR,10824
41019,Douglas County,OR,2850
41021,Gilliam County,OR,81
41023,Grant County,OR,248
41025,Harney County,OR,298
41027,Hood River County,OR,1578
41029,Jackson County,OR,8352
41031,Jefferson County,OR,620
41033,Josephine County,OR,3229
41035,Klamath County,OR,1825
41037,Lake County,OR,288
41039,Lane County,OR,12708
41041,Lincoln County,OR,2187
41043,Linn County,OR,3224
41045,Malheur County,OR,908
41047,Marion County,OR,8426
41049,Morrow County,OR,177
41051,Multnomah County,OR,35120
41053,Polk County,OR,2083
41055,Sherman County,OR,73
41057,Tillamook County,OR,1202
41059,Umatilla County,OR,1676
41061,Union County,OR,978
41063,Wallowa County,OR,571
41065,Wasco County,OR,879
41067,Washington County,OR,18386
41069,Wheeler County,OR,67
41071,Yamhill County,OR,3021
42001,Adams County,PA,3537
42003,Allegheny County,PA,39629
42005,Armstrong County,PA,1818
42007,Beaver County,PA,5008
42009,Bedford County,PA,1592
42011,Berks County,PA,13972
42013,Blair County,PA,2926
42015,Bradford County,PA,1924
42017,Bucks County,PA,31523
42019,Butler County,PA,5320
42021,Cambria County,PA,3803
42023,Cameron County,PA,130
42025,Carbon County,PA,2437
42027,Centre County,PA,3438
42029,Chester County,PA,20521
42031,Clarion County,PA,1442
42033,Clearfield County,PA,2146
42035,Clinton County,PA,862
42037,Columbia County,PA,1799
42039,Crawford County,PA,1888
42041,Cumberland County,PA,7961
42043,Dauphin County,PA,7347
42045,Delaware County,PA,24235
42047,Elk County,PA,828
42049,Erie County,PA,6377
42051,Fayette County,PA,3932
42053,Forest County,PA,151
42055,Franklin County,PA,4416
42057,Fulton County,PA,427
42059,Greene County,PA,785
42061,Huntingdon County,PA,1104
42063,Indiana County,PA,2017
42065,Jefferson County,PA,1341
42067,Juniata County,PA,732
42069,Lackawanna County,PA,7336
42071,Lancaster County,PA,17407
42073,Lawrence County,PA,2402
42075,Lebanon County,PA,3838
42077,Lehigh County,PA,12416
42079,Luzerne County,PA,9990
42081,Lycoming County,PA,3429
42083,McKean County,PA,751
42085,Mercer County,PA,2449
42087,Mifflin County,PA,1117
42089,Monroe County,PA,6713
42091,Montgomery County,PA,37277
42093,Montour County,PA,358
42095,Northampton County,PA,10803
42097,Northumberland County,PA,2178
42099,Perry County,PA,1549
42101,Philadelphia County,PA,59168
42103,Pike County,PA,2461
42105,Potter County,PA,467
42107,Schuylkill County,PA,4032
42109,Snyder County,PA,1214
42111,Somerset County,PA,2421
42113,Sullivan County,PA,283
42115,Susquehanna County,PA,1850
42117,Tioga County,PA,1214
42119,Union County,PA,1057
42121,Venango County,PA,1507
42123,Warren County,PA,956
42125,Washington County,PA,6386
42127,Wayne County,PA,2422
42129,Westmoreland County,PA,11193
42131,Wyoming County,PA,1113
42133,York County,PA,14110
45001,Abbeville County,SC,956
45003,Aiken County,SC,5861
45005,Allendale County,SC,299
45007,Anderson County,SC,8767
45009,Bamberg County,SC,518
45011,Barnwell County,SC,600
45013,Beaufort County,SC,8932
45015,Berkeley County,SC,8398
45017,Calhoun County,SC,660
45019,Charleston County,SC,23015
45021,Cherokee County,SC,1823
45023,Chester County,SC,1282
45025,Chesterfield County,SC,1607
45027,Clarendon County,SC,1372
45029,Colleton County,SC,2405
45031,Darlington County,SC,3067
45033,Dillon County,SC,1237
45035,Dorchester County,SC,6595
45037,Edgefield County,SC,873
45039,Fairfield County,SC,958
45041,Florence County,SC,6804
45043,Georgetown County,SC,3545
45045,Greenville County,SC,27055
45047,Greenwood County,SC,2661
45049,Hampton County,SC,823
45051,Horry County,SC,22111
45053,Jasper County,SC,1367
45055,Kershaw County,SC,2920
45057,Lancaster County,SC,4097
45059,Laurens County,SC,2466
45061,Lee County,SC,755
45063,Lexington County,SC,11746
45065,McCormick County,SC,318
45067,Marion County,SC,1591
45069,Marlboro County,SC,922
45071,Newberry County,SC,1306
45073,Oconee County,SC,2975
45075,Orangeburg County,SC,3997
45077,Pickens County,SC,5388
45079,Richland County,SC,18171
45081,Saluda County,SC,683
45083,Spartanburg County,SC,12261
45085,Sumter County,SC,3996
45087,Union County,SC,746
45089,Williamsburg County,SC,1506
45091,York County,SC,12410
46003,Aurora County,SD,134
46005,Beadle County,SD,490
46007,Bennett County,SD,47
46009,Bon Homme County,SD,221
46011,Brookings County,SD,946
46013,Brown County,SD,1047
46015,Brule County,SD,206
46017,Buffalo County,SD,23
46019,Butte County,SD,300
46021,Campbell County,SD,48
46023,Charles Mix County,SD,302
46025,Clark County,SD,301
46027,Clay County,SD,441
46029,Codington County,SD,1211
46031,Corson County,SD,51
46033,Custer County,SD,323
46035,Davison County,SD,506
46037,Day County,SD,443
46039,Deuel County,SD,192
46041,Dewey County,SD,58
46043,Douglas County,SD,123
46045,Edmunds County,SD,146
46047,Fall River County,SD,228
46049,Faulk County,SD,82
46051,Grant County,SD,228
46053,Gregory County,SD,276
46055,Haakon County,SD,73
